"{'x': -15.06332015991211, 'y': 9.786482810974121, 'z': -15.699565887451172}"
"{'x': -15.193408966064453, 'y': 9.598089218139648, 'z': -16.152311325073242}"
"{'x': -15.332127571105957, 'y': 9.738096237182617, 'z': -16.472604751586914}"
"{'x': -15.281805038452148, 'y': 9.894941329956055, 'z': -16.7189884185791}"
"{'x': -15.275774002075195, 'y': 9.978523254394531, 'z': -16.92677116394043}"
"{'x': -15.463052749633789, 'y': 10.02446174621582, 'z': -16.870445251464844}"
"{'x': -15.391613006591797, 'y': 9.97668743133545, 'z': -16.89573860168457}"
"{'x': -15.263239860534668, 'y': 10.019842147827148, 'z': -17.318740844726562}"
"{'x': -15.267911911010742, 'y': 10.025290489196777, 'z': -17.71371841430664}"
"{'x': -15.367598533630371, 'y': 10.125003814697266, 'z': -18.003808975219727}"
"{'x': -15.536952018737793, 'y': 10.343204498291016, 'z': -18.522428512573242}"
"{'x': -15.748398780822754, 'y': 10.508400917053223, 'z': -19.068952560424805}"
"{'x': -15.971158981323242, 'y': 10.454545974731445, 'z': -19.276077270507812}"
"{'x': -16.062015533447266, 'y': 10.251803398132324, 'z': -19.322553634643555}"
"{'x': -16.043834686279297, 'y': 10.266765594482422, 'z': -19.728904724121094}"
"{'x': -16.08549690246582, 'y': 10.86091423034668, 'z': -19.644166946411133}"
"{'x': -16.126352310180664, 'y': 10.470120429992676, 'z': -19.74455451965332}"
"{'x': -16.1820068359375, 'y': 10.397629737854004, 'z': -19.936891555786133}"
"{'x': -16.868759155273438, 'y': 10.371381759643555, 'z': -19.9259033203125}"
"{'x': -16.63212776184082, 'y': 10.245012283325195, 'z': -20.098724365234375}"
"{'x': -16.635896682739258, 'y': 10.327662467956543, 'z': -20.25377655029297}"
"{'x': -16.556074142456055, 'y': 10.27167797088623, 'z': -20.457124710083008}"
"{'x': -16.51894187927246, 'y': 10.282177925109863, 'z': -20.783658981323242}"
"{'x': -16.42230796813965, 'y': 10.403879165649414, 'z': -21.332569122314453}"
"{'x': -16.28908348083496, 'y': 10.335039138793945, 'z': -21.588144302368164}"
"{'x': -16.26764488220215, 'y': 10.101725578308105, 'z': -21.967227935791016}"
"{'x': -16.557523727416992, 'y': 10.039579391479492, 'z': -22.28825569152832}"
"{'x': -16.67696189880371, 'y': 10.032793045043945, 'z': -22.2101993560791}"
"{'x': -16.7698974609375, 'y': 10.043313026428223, 'z': -22.10636329650879}"
"{'x': -16.879188537597656, 'y': 10.087210655212402, 'z': -22.44468879699707}"
"{'x': -17.082674026489258, 'y': 9.934680938720703, 'z': -22.828887939453125}"
"{'x': -17.226078033447266, 'y': 9.66347599029541, 'z': -23.11368179321289}"
"{'x': -17.358179092407227, 'y': 9.857605934143066, 'z': -23.365280151367188}"
"{'x': -17.398174285888672, 'y': 10.09816837310791, 'z': -23.315595626831055}"
"{'x': -17.29397964477539, 'y': 10.226304054260254, 'z': -23.094640731811523}"
"{'x': -17.385005950927734, 'y': 10.015596389770508, 'z': -23.552196502685547}"
"{'x': -17.43781852722168, 'y': 10.02657699584961, 'z': -23.83213996887207}"
"{'x': -17.472688674926758, 'y': 10.110234260559082, 'z': -24.063186645507812}"
"{'x': -17.521005630493164, 'y': 10.070415496826172, 'z': -24.399648666381836}"
"{'x': -17.653919219970703, 'y': 9.953287124633789, 'z': -24.682859420776367}"
"{'x': -17.614404678344727, 'y': 9.846880912780762, 'z': -24.63991928100586}"
"{'x': -17.691415786743164, 'y': 9.661996841430664, 'z': -24.726289749145508}"
"{'x': -17.899925231933594, 'y': 9.45113468170166, 'z': -25.299392700195312}"
"{'x': -17.957340240478516, 'y': 9.346724510192871, 'z': -25.669370651245117}"
"{'x': -17.911340713500977, 'y': 9.246737480163574, 'z': -26.58084487915039}"
"{'x': -17.93927001953125, 'y': 9.194756507873535, 'z': -26.711729049682617}"
"{'x': -18.105905532836914, 'y': 9.129193305969238, 'z': -26.627315521240234}"
"{'x': -18.176815032958984, 'y': 9.078849792480469, 'z': -26.846630096435547}"
"{'x': -18.361223220825195, 'y': 8.97442626953125, 'z': -26.874853134155273}"
"{'x': -18.45682716369629, 'y': 8.760588645935059, 'z': -26.969139099121094}"
"{'x': -18.59771728515625, 'y': 8.509952545166016, 'z': -27.414793014526367}"
"{'x': -18.650903701782227, 'y': 8.402276992797852, 'z': -27.74163055419922}"
"{'x': -18.769371032714844, 'y': 8.378127098083496, 'z': -28.11525535583496}"
"{'x': -18.82999610900879, 'y': 8.425868034362793, 'z': -28.253503799438477}"
"{'x': -18.81094741821289, 'y': 8.253931045532227, 'z': -28.066808700561523}"
"{'x': -18.878177642822266, 'y': 8.197868347167969, 'z': -28.03748321533203}"
"{'x': -18.938997268676758, 'y': 8.205967903137207, 'z': -28.611591339111328}"
"{'x': -19.03916358947754, 'y': 7.414789199829102, 'z': -29.440265655517578}"
"{'x': -19.180843353271484, 'y': 7.487972259521484, 'z': -29.78220558166504}"
"{'x': -19.12008285522461, 'y': 7.648685932159424, 'z': -29.806716918945312}"
"{'x': -19.122631072998047, 'y': 7.780025482177734, 'z': -29.78010368347168}"
"{'x': -19.32462501525879, 'y': 7.701723575592041, 'z': -29.841045379638672}"
"{'x': -19.45706558227539, 'y': 7.43160343170166, 'z': -30.068161010742188}"
"{'x': -19.631816864013672, 'y': 6.672017574310303, 'z': -30.30944061279297}"
"{'x': -19.776819229125977, 'y': 6.568970680236816, 'z': -30.66591453552246}"
"{'x': -20.417694091796875, 'y': 6.360551834106445, 'z': -30.935583114624023}"
"{'x': -20.223960876464844, 'y': 6.290571689605713, 'z': -31.242563247680664}"
"{'x': -20.1232852935791, 'y': 6.2486958503723145, 'z': -31.726133346557617}"
"{'x': -20.065034866333008, 'y': 6.068098545074463, 'z': -32.15847396850586}"
"{'x': -19.961172103881836, 'y': 5.97250509262085, 'z': -32.28876876831055}"
"{'x': -20.016401290893555, 'y': 6.028496742248535, 'z': -32.58043670654297}"
"{'x': -20.115781784057617, 'y': 5.94758939743042, 'z': -32.685203552246094}"
"{'x': -20.058473587036133, 'y': 5.7462944984436035, 'z': -33.002777099609375}"
"{'x': -20.292259216308594, 'y': 5.586522102355957, 'z': -33.13667297363281}"
"{'x': -20.509353637695312, 'y': 5.231908798217773, 'z': -33.327293395996094}"
"{'x': -20.49260711669922, 'y': 5.057980537414551, 'z': -33.66029357910156}"
"{'x': -20.399124145507812, 'y': 4.8513593673706055, 'z': -33.813899993896484}"
"{'x': -20.383560180664062, 'y': 4.656572341918945, 'z': -33.782100677490234}"
"{'x': -20.47947883605957, 'y': 4.535836696624756, 'z': -33.726951599121094}"
"{'x': -20.545095443725586, 'y': 4.2661614418029785, 'z': -33.58332824707031}"
"{'x': -20.42287826538086, 'y': 4.108732223510742, 'z': -33.670249938964844}"
"{'x': -20.459749221801758, 'y': 4.004339694976807, 'z': -33.890811920166016}"
"{'x': -20.44854164123535, 'y': 3.658761739730835, 'z': -34.20138168334961}"
"{'x': -20.485280990600586, 'y': 3.2869067192077637, 'z': -34.2432861328125}"
"{'x': -20.61370849609375, 'y': 3.090998888015747, 'z': -34.146324157714844}"
"{'x': -20.736169815063477, 'y': 3.0293350219726562, 'z': -34.080684661865234}"
"{'x': -20.881378173828125, 'y': 2.903351306915283, 'z': -34.172454833984375}"
"{'x': -20.994525909423828, 'y': 2.5245535373687744, 'z': -34.362030029296875}"
"{'x': -20.959075927734375, 'y': 2.3086647987365723, 'z': -34.13998794555664}"
"{'x': -20.96016502380371, 'y': 2.186551809310913, 'z': -34.189510345458984}"
"{'x': -20.969202041625977, 'y': 1.8815888166427612, 'z': -34.378089904785156}"
"{'x': -20.9864444732666, 'y': 1.5658899545669556, 'z': -34.5625}"
"{'x': -21.10980987548828, 'y': 1.3343892097473145, 'z': -34.72486877441406}"
"{'x': -21.259090423583984, 'y': 1.0756603479385376, 'z': -35.06097412109375}"
"{'x': -21.29898452758789, 'y': 0.7537007331848145, 'z': -35.19136428833008}"
"{'x': -21.247039794921875, 'y': 0.5257088541984558, 'z': -35.22344207763672}"
"{'x': -21.29660415649414, 'y': 0.17766843736171722, 'z': -35.32778549194336}"
"{'x': -21.438268661499023, 'y': -0.01448605116456747, 'z': -35.25263595581055}"
"{'x': -21.594148635864258, 'y': -0.016943244263529778, 'z': -35.384674072265625}"
"{'x': -21.629695892333984, 'y': -0.2088785618543625, 'z': -35.518795013427734}"
"{'x': -21.7626895904541, 'y': -0.4699397087097168, 'z': -35.708126068115234}"
"{'x': -21.64414405822754, 'y': -0.7503702640533447, 'z': -35.44307327270508}"
"{'x': -21.590715408325195, 'y': -0.9929962158203125, 'z': -35.622013092041016}"
"{'x': -21.617931365966797, 'y': -1.1652382612228394, 'z': -35.79146957397461}"
"{'x': -21.645723342895508, 'y': -1.57712721824646, 'z': -36.17092514038086}"
"{'x': -21.751230239868164, 'y': -1.76828932762146, 'z': -36.18497085571289}"
"{'x': -21.757410049438477, 'y': -2.0535976886749268, 'z': -36.29490280151367}"
"{'x': -21.85405921936035, 'y': -2.3955485820770264, 'z': -36.31562423706055}"
"{'x': -21.959983825683594, 'y': -2.8079111576080322, 'z': -35.84033203125}"
"{'x': -22.111127853393555, 'y': -2.619077682495117, 'z': -35.58304214477539}"
"{'x': -22.236045837402344, 'y': -2.89597749710083, 'z': -35.41075134277344}"
"{'x': -22.15468406677246, 'y': -2.9941158294677734, 'z': -35.466583251953125}"
"{'x': -22.140289306640625, 'y': -3.232222080230713, 'z': -35.55205154418945}"
"{'x': -22.252988815307617, 'y': -3.673126697540283, 'z': -35.782718658447266}"
"{'x': -22.22446632385254, 'y': -4.231752872467041, 'z': -35.768226623535156}"
